epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1036.97,4.0758,3.53823,0.87848,0.10495,0.03953,0.02139,0.00578,3.89196,3.20968,0.84662,0.001109,0.001109,0.001109
47,1059.05,4.0398,3.58844,0.85792,0.15995,0.03953,0.0264,0.00745,4.00459,2.84474,0.8496,0.0010892,0.0010892,0.0010892
48,1081.93,3.93941,3.40263,0.84065,0.26655,0.03162,0.0302,0.00957,3.90443,2.92649,0.85654,0.0010694,0.0010694,0.0010694
49,1104.58,3.8975,3.41065,0.8424,0.16964,0.04743,0.02213,0.00765,3.66376,2.8861,0.84249,0.0010496,0.0010496,0.0010496
50,1126.75,3.77388,3.16677,0.8449,0.23151,0.05836,0.04122,0.01043,3.69663,2.87397,0.83415,0.0010298,0.0010298,0.0010298
51,1148.72,3.75633,3.14484,0.84236,0.19124,0.05534,0.0274,0.00941,3.7091,2.80331,0.84771,0.00101,0.00101,0.00101
52,1171.04,3.763,3.28479,0.83853,0.20524,0.06719,0.04522,0.01469,3.65874,2.64146,0.83653,0.0009902,0.0009902,0.0009902
53,1193.92,3.59122,3.05205,0.84587,0.25985,0.083,0.05791,0.01525,3.50606,2.6891,0.82045,0.0009704,0.0009704,0.0009704
54,1216.74,3.64041,3.149,0.83759,0.45377,0.06241,0.07904,0.01926,3.45464,2.66698,0.81865,0.0009506,0.0009506,0.0009506
55,1239.6,3.5398,3.02892,0.82001,0.28367,0.04743,0.05082,0.01294,3.61659,2.63552,0.81983,0.0009308,0.0009308,0.0009308
56,1261.78,3.52869,3.03713,0.83586,0.31254,0.05929,0.0433,0.01271,3.63814,2.64218,0.82032,0.000911,0.000911,0.000911
57,1284.15,3.61289,3.06638,0.83814,0.3658,0.08696,0.07346,0.01712,3.4873,2.50602,0.82284,0.0008912,0.0008912,0.0008912
58,1306.37,3.48682,2.98076,0.8294,0.44343,0.06615,0.0442,0.0144,3.6334,2.487,0.82021,0.0008714,0.0008714,0.0008714
